campaignDisplayName,campaignDescription,campaignID,campaignStartDate,campaignEndDate,duration,daysLeft,campaignType,campaignStatus,userEmail,resourceID,resourceName,resourceType,assignmentType,entitlementBundleName,entitlementValueName,decision,decidedDate,reviewerType,reviewerGroupName,reviewerEmail,remediationStatus,currentReviewerLevel,level1ReviewerEmail,level1ReviewerDecision,level2ReviewerEmail,level2ReviewerDecision
Quarterly Access Review - 26,Quarterly Access Review audit.,pigTHKbfoLISRABr,01/11/2023 2:17 am,01/23/2023 3:01 am,12,-976.373981,RESOURCE,COMPLETED,taylor.johnson160@example.com,7uff0LYTH8xIZM1JRcor,My Super Secure App,Database,GROUP,,,APPROVED,01/13/2023 1:40 am,USER,,taylor.johnson@testmail.com,PENDING,2,taylor.johnson@mailinator.com,APPROVED,,
PCI Resource Review - 547,PCI Resource Review audit.,kx9NIQ0Wobtqn62t,02/14/2025 12:41 pm,03/05/2025 1:37 pm,19,-203.932350,RESOURCE,COMPLETED,jordan.johnson143@example.com,UHUAKw9iEU1jjQKxKDpI,My Super Secure App,Application,USER,Default Bundle,,APPROVED,02/25/2025 1:57 am,GROUP,ComplianceTeam,,PENDING,2,,,jordan.johnson@mailinator.com,APPROVED
Quarterly Access Review - 892,,0Fmxk754LEgw9Yoo,05/31/2025 8:35 am,06/09/2025 8:40 am,9,-108.138206,RESOURCE,COMPLETED,alex.garcia785@example.com,hDIq2AnHTmt9OBGhnuKo,Data Lake Portal,Application,GROUP,,,UNREVIEWED,,GROUP,ComplianceTeam,,PENDING,2,alex.garcia@mailinator.com,REVOKED,alex.garcia@example.com,REVOKED
PCI Resource Review - 804,,zfOvz1dOOdTXglHi,10/13/2023 12:55 am,10/28/2023 1:24 am,15,-698.441123,RESOURCE,ACTIVE,alex.brown828@mailinator.com,gOHafUozD13kay5WrRTW,HRPro,Database,GROUP,,ROLE_USER,REVOKED,10/26/2023 4:46 am,GROUP,SecurityOps,,SUCCESS,,alex.brown@testmail.com,APPROVED,alex.brown@mailinator.com,APPROVED
PCI Resource Review - 71,,Poh3pKMzKG5mSoyP,04/11/2024 12:42 am,05/02/2024 1:02 am,21,-511.456875,RESOURCE,DRAFT,alex.brown637@mailinator.com,9enq522wjZRL9OaYsP6i,My Super Secure App,Application,GROUP,,,REVOKED,04/19/2024 8:26 am,GROUP,SecurityOps,,FAILED,1,alex.brown@testmail.com,APPROVED,alex.brown@testmail.com,REVOKED
Quarterly Access Review - 4,,i8kBRIg6QjcwIAcw,03/03/2023 11:23 pm,03/21/2023 11:36 pm,18,-918.516447,RESOURCE,ACTIVE,neha.patel363@mailinator.com,2zMj518Y2bTu5X1YqWg2,HRPro,Database,GROUP,Default Bundle,,APPROVED,03/09/2023 11:58 am,GROUP,AccessReviewers,,FAILED,,neha.patel@testmail.com,APPROVED,,
SOX Resource Review - 360,,y8H6h8l7qgATtLFx,06/14/2025 4:45 pm,06/27/2025 5:01 pm,13,-89.790544,RESOURCE,DRAFT,neha.brown2@mailinator.com,5HSUPwePut0SstzyshA6,Data Lake Portal,API,USER,,,APPROVED,06/19/2025 7:12 pm,USER,,neha.brown@mailinator.com,FAILED,2,neha.brown@testmail.com,REVOKED,,
Customer Portal Access - 813,Customer Portal Access audit.,XkfFNuYUPnmbpD0e,10/05/2024 7:28 pm,11/01/2024 8:04 pm,27,-327.663310,RESOURCE,ACTIVE,neha.martinez394@testmail.com,yjQ312WnXRCI4hiCGItU,HRPro,Server,USER,Default Bundle,ROLE_USER,APPROVED,10/27/2024 3:50 pm,USER,,neha.martinez@example.com,FAILED,1,,,,
PCI Resource Review - 282,,Sou3ejxjnzuCdZyV,01/31/2023 8:12 am,02/25/2023 8:36 am,25,-943.141505,RESOURCE,COMPLETED,alex.johnson306@testmail.com,07zUHLnnBbuQzkChMbyI,My Super Secure App,Application,USER,,,UNREVIEWED,,USER,,alex.johnson@testmail.com,SUCCESS,,alex.johnson@testmail.com,REVOKED,alex.johnson@testmail.com,REVOKED
Quarterly Access Review - 482,,H9vOWOU6mbjhPInR,07/27/2024 1:24 am,08/08/2024 2:02 am,12,-413.414907,RESOURCE,CANCELLED,neha.martinez118@example.com,7gbtP7ySeQMgV0Lh8WvA,Finance360,Application,USER,,,APPROVED,07/28/2024 8:08 am,USER,,neha.martinez@testmail.com,FAILED,1,,,,
SOX Resource Review - 631,SOX Resource Review audit.,HDBTq0Zf2pCLxb0l,11/26/2023 12:24 pm,12/14/2023 1:15 pm,18,-650.947870,RESOURCE,IN_PROGRESS,taylor.johnson902@mailinator.com,Rra6fSEVQOEXfnQsKDGA,Finance360,API,USER,,,UNREVIEWED,,GROUP,ComplianceTeam,,PENDING,2,taylor.johnson@mailinator.com,APPROVED,taylor.johnson@mailinator.com,REVOKED
SOX Resource Review - 742,,VL8ZswsRhcds6NUg,01/20/2023 1:17 am,02/14/2023 1:35 am,25,-954.433866,RESOURCE,COMPLETED,kiran.brown349@example.com,7p1heEJQjY6fpIzKMWx4,Finance360,Server,USER,,,REVOKED,01/24/2023 8:54 pm,GROUP,SecurityOps,,PENDING,1,,,kiran.brown@example.com,APPROVED
